Dealer Billing Statement for: March 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hiley Cars Fort Worth, LP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Manufacturer Name,Plant Name,Invoice Date,Invoice Number,Interest Start Date,Maturity Date,Description,Type,Model Number,Serial No/VIN,Stock/Lease No,Original Amount,Beginning Balance,Advances,Last Advance Date,Principal Payments,Principal Adjustments,Monthly Activity,Ending Balance,Current Curtailments,Past Due Curtailments,Current Maturities,Past Due Maturities,Total Principal Due,Interest Amount,Prior Period Interest Billed Current Month,Flat Charges Amount,Item Fee Amount,Total Interest / Charges / Fees Due,Inception to Date Interest,Average Daily Billing Balance
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,3/10/2026,22170,3/10/2026,10/10/2027,2026 Buick BUCK ENVSN S,Automobile,BUCK ENVSN S,LRBFZPR49TD022170,,"$45,415.25 ",$0.00 ,"$45,415.25 ",3/10/2026,$0.00 ,$0.00 ,"$45,415.25 ","$45,415.25 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$137.87 ,$0.00 ,$0.00 ,$0.00 ,$137.87 ,$137.87 ,"$32,230.18 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,3/10/2026,22210,3/10/2026,10/10/2027,2026 Buick BUCK ENVSN S,Automobile,BUCK ENVSN S,LRBFZPR46TD022210,,"$45,873.13 ",$0.00 ,"$45,873.13 ",3/10/2026,$0.00 ,$0.00 ,"$45,873.13 ","$45,873.13 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$139.26 ,$0.00 ,$0.00 ,$0.00 ,$139.26 ,$139.26 ,"$32,555.12 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,3/10/2026,22234,3/10/2026,10/10/2027,2026 Buick BUCK ENVSN S,Automobile,BUCK ENVSN S,LRBFZPR49TD022234,,"$45,873.13 ",$0.00 ,"$45,873.13 ",3/10/2026,$0.00 ,$0.00 ,"$45,873.13 ","$45,873.13 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$139.26 ,$0.00 ,$0.00 ,$0.00 ,$139.26 ,$139.26 ,"$32,555.12 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,3/10/2026,22286,3/10/2026,10/10/2027,2026 Buick BUCK ENVSN S,Automobile,BUCK ENVSN S,LRBFZPR46TD022286,,"$45,415.25 ",$0.00 ,"$45,415.25 ",3/10/2026,$0.00 ,$0.00 ,"$45,415.25 ","$45,415.25 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$137.87 ,$0.00 ,$0.00 ,$0.00 ,$137.87 ,$137.87 ,"$32,230.18 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,3/3/2026,24440,3/3/2026,10/3/2027,2026 Buick BUCK ENVSN S,Automobile,BUCK ENVSN S,LRBFZPR40TD024440,,"$45,873.13 ",$0.00 ,"$45,873.13 ",3/3/2026,$0.00 ,$0.00 ,"$45,873.13 ","$45,873.13 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$183.57 ,$0.00 ,$0.00 ,$0.00 ,$183.57 ,$183.57 ,"$42,913.57 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,2/26/2026,24474,2/26/2026,9/26/2027,2026 Buick BUCK ENVSN S,Automobile,BUCK ENVSN S,LRBFZPR46TD024474,,"$45,415.25 ","$45,415.25 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$45,415.25 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$194.28 ,$0.00 ,$0.00 ,$0.00 ,$194.28 ,$213.09 ,"$45,415.25 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,3/5/2026,24699,3/5/2026,10/5/2027,2026 Buick BUCK ENVSN A,Automobile,BUCK ENVSN A,LRBFZSR44TD024699,,"$51,698.30 ",$0.00 ,"$51,698.30 ",3/5/2026,$0.00 ,$0.00 ,"$51,698.30 ","$51,698.30 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$192.62 ,$0.00 ,$0.00 ,$0.00 ,$192.62 ,$192.62 ,"$45,027.55 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,3/9/2026,24863,3/9/2026,10/9/2027,2026 Buick BUCK ENVSN A,Automobile,BUCK ENVSN A,LRBFZSR42TD024863,,"$51,143.30 ",$0.00 ,"$51,143.30 ",3/9/2026,$0.00 ,$0.00 ,"$51,143.30 ","$51,143.30 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$162.32 ,$0.00 ,$0.00 ,$0.00 ,$162.32 ,$162.32 ,"$37,945.03 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,4/7/2025,25577,4/7/2025,11/7/2026,2025 Buick ENVISION,Automobile,ENVISION,LRBFZLE43SD025577,B34178,"$41,198.96 ","$41,198.96 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$41,198.96 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$176.24 ,$0.00 ,$0.00 ,$0.00 ,$176.24 ,"$2,210.22 ","$41,198.96 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,7/9/2025,27144,7/9/2025,2/9/2027,2026 Buick BUCK ENCOR G,Automobile,BUCK ENCOR G,KL4AMBSL5TB027144,B35001,"$28,835.00 ","$28,835.00 ",$0.00 ,,"($28,835.00)",$0.00 ,"($28,835.00)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$95.50 ,$0.00 ,$0.00 ,$0.00 ,$95.50 ,"$1,100.10 ","$22,323.87 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,3/30/2026,33619,3/30/2026,10/30/2027,2026 Buick BUCK ENVSN S,Automobile,BUCK ENVSN S,LRBFZPR47TD033619,,"$45,873.13 ",$0.00 ,"$45,873.13 ",3/30/2026,$0.00 ,$0.00 ,"$45,873.13 ","$45,873.13 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$12.66 ,$0.00 ,$0.00 ,$0.00 ,$12.66 ,$12.66 ,"$2,959.56 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,3/26/2026,33636,3/26/2026,10/26/2027,2026 Buick BUCK ENVSN S,Automobile,BUCK ENVSN S,LRBFZPR47TD033636,,"$45,873.13 ",$0.00 ,"$45,873.13 ",3/26/2026,$0.00 ,$0.00 ,"$45,873.13 ","$45,873.13 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$37.98 ,$0.00 ,$0.00 ,$0.00 ,$37.98 ,$37.98 ,"$8,878.67 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,3/26/2026,33811,3/26/2026,10/26/2027,2026 Buick BUCK ENVSN S,Automobile,BUCK ENVSN S,LRBFZPR4XTD033811,,"$45,873.13 ",$0.00 ,"$45,873.13 ",3/26/2026,$0.00 ,$0.00 ,"$45,873.13 ","$45,873.13 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$37.98 ,$0.00 ,$0.00 ,$0.00 ,$37.98 ,$37.98 ,"$8,878.67 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,3/26/2026,33926,3/26/2026,10/26/2027,2026 Buick BUCK ENVSN S,Automobile,BUCK ENVSN S,LRBFZPR45TD033926,,"$45,873.13 ",$0.00 ,"$45,873.13 ",3/26/2026,$0.00 ,$0.00 ,"$45,873.13 ","$45,873.13 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$37.98 ,$0.00 ,$0.00 ,$0.00 ,$37.98 ,$37.98 ,"$8,878.67 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,3/30/2026,34149,3/30/2026,10/30/2027,2026 Buick BUCK ENVSN S,Automobile,BUCK ENVSN S,LRBFZPR41TD034149,,"$45,873.13 ",$0.00 ,"$45,873.13 ",3/30/2026,$0.00 ,$0.00 ,"$45,873.13 ","$45,873.13 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$12.66 ,$0.00 ,$0.00 ,$0.00 ,$12.66 ,$12.66 ,"$2,959.56 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,3/26/2026,34199,3/26/2026,10/26/2027,2026 Buick BUCK ENVSN S,Automobile,BUCK ENVSN S,LRBFZPR45TD034199,,"$46,428.13 ",$0.00 ,"$46,428.13 ",3/26/2026,$0.00 ,$0.00 ,"$46,428.13 ","$46,428.13 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$38.44 ,$0.00 ,$0.00 ,$0.00 ,$38.44 ,$38.44 ,"$8,986.09 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,3/30/2026,34329,3/30/2026,10/30/2027,2026 Buick BUCK ENVSN S,Automobile,BUCK ENVSN S,LRBFZPR43TD034329,,"$46,428.13 ",$0.00 ,"$46,428.13 ",3/30/2026,$0.00 ,$0.00 ,"$46,428.13 ","$46,428.13 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$12.81 ,$0.00 ,$0.00 ,$0.00 ,$12.81 ,$12.81 ,"$2,995.36 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,3/26/2026,34434,3/26/2026,10/26/2027,2026 Buick BUCK ENVSN S,Automobile,BUCK ENVSN S,LRBFZPR40TD034434,,"$46,428.13 ",$0.00 ,"$46,428.13 ",3/26/2026,$0.00 ,$0.00 ,"$46,428.13 ","$46,428.13 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$38.44 ,$0.00 ,$0.00 ,$0.00 ,$38.44 ,$38.44 ,"$8,986.09 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,3/30/2026,34458,3/30/2026,10/30/2027,2026 Buick BUCK ENVSN S,Automobile,BUCK ENVSN S,LRBFZPR43TD034458,,"$45,873.13 ",$0.00 ,"$45,873.13 ",3/30/2026,$0.00 ,$0.00 ,"$45,873.13 ","$45,873.13 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$12.66 ,$0.00 ,$0.00 ,$0.00 ,$12.66 ,$12.66 ,"$2,959.56 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,3/26/2026,34508,3/26/2026,10/26/2027,2026 Buick BUCK ENVSN S,Automobile,BUCK ENVSN S,LRBFZPR43TD034508,,"$45,873.13 ",$0.00 ,"$45,873.13 ",3/26/2026,$0.00 ,$0.00 ,"$45,873.13 ","$45,873.13 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$37.98 ,$0.00 ,$0.00 ,$0.00 ,$37.98 ,$37.98 ,"$8,878.67 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,7/21/2025,34554,7/21/2025,2/21/2027,2026 Buick BUCK ENCOR G,Automobile,BUCK ENCOR G,KL4AMDSLXTB034554,B35056,"$29,648.45 ","$29,648.45 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$29,648.45 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$126.83 ,$0.00 ,$0.00 ,$0.00 ,$126.83 ,"$1,104.13 ","$29,648.45 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,3/26/2026,34696,3/26/2026,10/26/2027,2026 Buick BUCK ENVSN S,Automobile,BUCK ENVSN S,LRBFZPR48TD034696,,"$46,428.13 ",$0.00 ,"$46,428.13 ",3/26/2026,$0.00 ,$0.00 ,"$46,428.13 ","$46,428.13 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$38.44 ,$0.00 ,$0.00 ,$0.00 ,$38.44 ,$38.44 ,"$8,986.09 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,3/26/2026,34708,3/26/2026,10/26/2027,2026 Buick BUCK ENVSN S,Automobile,BUCK ENVSN S,LRBFZPR40TD034708,,"$45,873.13 ",$0.00 ,"$45,873.13 ",3/26/2026,$0.00 ,$0.00 ,"$45,873.13 ","$45,873.13 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$37.98 ,$0.00 ,$0.00 ,$0.00 ,$37.98 ,$37.98 ,"$8,878.67 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,3/30/2026,34712,3/30/2026,10/30/2027,2026 Buick BUCK ENVSN S,Automobile,BUCK ENVSN S,LRBFZPR42TD034712,,"$46,428.13 ",$0.00 ,"$46,428.13 ",3/30/2026,$0.00 ,$0.00 ,"$46,428.13 ","$46,428.13 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$12.81 ,$0.00 ,$0.00 ,$0.00 ,$12.81 ,$12.81 ,"$2,995.36 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,3/30/2026,34737,3/30/2026,10/30/2027,2026 Buick BUCK ENVSN S,Automobile,BUCK ENVSN S,LRBFZPR47TD034737,,"$45,873.13 ",$0.00 ,"$45,873.13 ",3/30/2026,$0.00 ,$0.00 ,"$45,873.13 ","$45,873.13 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$12.66 ,$0.00 ,$0.00 ,$0.00 ,$12.66 ,$12.66 ,"$2,959.56 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,3/30/2026,34780,3/30/2026,10/30/2027,2026 Buick BUCK ENVSN S,Automobile,BUCK ENVSN S,LRBFZPR48TD034780,,"$45,873.13 ",$0.00 ,"$45,873.13 ",3/30/2026,$0.00 ,$0.00 ,"$45,873.13 ","$45,873.13 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$12.66 ,$0.00 ,$0.00 ,$0.00 ,$12.66 ,$12.66 ,"$2,959.56 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,3/30/2026,34863,3/30/2026,10/30/2027,2026 Buick BUCK ENVSN S,Automobile,BUCK ENVSN S,LRBFZPR41TD034863,,"$45,873.13 ",$0.00 ,"$45,873.13 ",3/30/2026,$0.00 ,$0.00 ,"$45,873.13 ","$45,873.13 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$12.66 ,$0.00 ,$0.00 ,$0.00 ,$12.66 ,$12.66 ,"$2,959.56 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,3/26/2026,35120,3/26/2026,10/26/2027,2026 Buick BUCK ENVSN S,Automobile,BUCK ENVSN S,LRBFZPR44TD035120,,"$45,873.13 ",$0.00 ,"$45,873.13 ",3/26/2026,$0.00 ,$0.00 ,"$45,873.13 ","$45,873.13 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$37.98 ,$0.00 ,$0.00 ,$0.00 ,$37.98 ,$37.98 ,"$8,878.67 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,3/30/2026,35366,3/30/2026,10/30/2027,2026 Buick BUCK ENVSN S,Automobile,BUCK ENVSN S,LRBFZPR43TD035366,,"$46,428.13 ",$0.00 ,"$46,428.13 ",3/30/2026,$0.00 ,$0.00 ,"$46,428.13 ","$46,428.13 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$12.81 ,$0.00 ,$0.00 ,$0.00 ,$12.81 ,$12.81 ,"$2,995.36 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,3/26/2026,35584,3/26/2026,10/26/2027,2026 Buick BUCK ENVSN S,Automobile,BUCK ENVSN S,LRBFZPR42TD035584,,"$45,873.13 ",$0.00 ,"$45,873.13 ",3/26/2026,$0.00 ,$0.00 ,"$45,873.13 ","$45,873.13 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$37.98 ,$0.00 ,$0.00 ,$0.00 ,$37.98 ,$37.98 ,"$8,878.67 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,2/17/2026,40911,2/17/2026,9/17/2027,2026 Buick ENCORE,Automobile,ENCORE,KL4AMBSLXTB040911,B36280,"$29,150.00 ","$29,150.00 ",$0.00 ,,"($29,150.00)",$0.00 ,"($29,150.00)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$12.07 ,$0.00 ,$0.00 ,$0.00 ,$12.07 ,$60.37 ,"$2,820.97 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,2/17/2026,51589,2/17/2026,9/17/2027,2026 Buick ENCORE,Automobile,ENCORE,KL4AMBSL9TB051589,B36279,"$29,518.00 ","$29,518.00 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$29,518.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$126.28 ,$0.00 ,$0.00 ,$0.00 ,$126.28 ,$175.19 ,"$29,518.00 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,8/25/2025,51953,8/25/2025,3/25/2027,2026 Buick BUCK ENVIST,Automobile,BUCK ENVIST,KL47LBEPXTB051953,B35282,"$28,390.10 ","$28,390.10 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$28,390.10 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$121.45 ,$0.00 ,$0.00 ,$0.00 ,$121.45 ,$901.45 ,"$28,390.10 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,2/17/2026,53463,2/17/2026,9/17/2027,2026 Buick ENCORE,Automobile,ENCORE,KL4AMBSL8TB053463,B36278,"$29,518.00 ","$29,518.00 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$29,518.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$126.28 ,$0.00 ,$0.00 ,$0.00 ,$126.28 ,$175.19 ,"$29,518.00 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,9/25/2025,60718,9/25/2025,4/25/2027,2026 Buick BUCK ENCOR G,Automobile,BUCK ENCOR G,KL4AMDSL1TB060718,B35494,"$28,859.55 ","$28,859.55 ",$0.00 ,,"($28,859.55)",$0.00 ,"($28,859.55)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$91.60 ,$0.00 ,$0.00 ,$0.00 ,$91.60 ,$745.36 ,"$21,411.92 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,10/3/2025,63551,10/3/2025,5/3/2027,2026 Buick BUCK ENVIST,Automobile,BUCK ENVIST,KL47LBEP6TB063551,B35520,"$29,496.80 ","$29,496.80 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$29,496.80 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$126.18 ,$0.00 ,$0.00 ,$0.00 ,$126.18 ,$758.05 ,"$29,496.80 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,10/3/2025,63742,10/3/2025,5/3/2027,2026 Buick BUCK ENVIST,Automobile,BUCK ENVIST,KL47LBEP2TB063742,B35522,"$29,496.80 ","$29,496.80 ",$0.00 ,,"($29,496.80)",$0.00 ,"($29,496.80)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$93.62 ,$0.00 ,$0.00 ,$0.00 ,$93.62 ,$725.49 ,"$21,884.72 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,2/17/2026,68648,2/17/2026,9/17/2027,2026 Buick ENVISTA,Automobile,ENVISTA,KL47LAEPXTB068648,B36263,"$26,925.61 ","$26,925.61 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$26,925.61 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$115.19 ,$0.00 ,$0.00 ,$0.00 ,$115.19 ,$159.81 ,"$26,925.61 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,2/17/2026,68701,2/17/2026,9/17/2027,2026 Buick ENVISTA,Automobile,ENVISTA,KL47LAEPXTB068701,B36264,"$26,378.20 ","$26,378.20 ",$0.00 ,,"($26,378.20)",$0.00 ,"($26,378.20)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$29.12 ,$0.00 ,$0.00 ,$0.00 ,$29.12 ,$72.83 ,"$6,807.28 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,11/13/2025,81642,11/13/2025,6/13/2027,2026 Buick BUCK ENVIST,Automobile,BUCK ENVIST,KL47LAEP8TB081642,,"$27,560.45 ","$27,560.45 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$27,560.45 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$117.90 ,$0.00 ,$0.00 ,$0.00 ,$117.90 ,$538.84 ,"$27,560.45 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,2/17/2026,82007,2/17/2026,9/17/2027,2026 Buick ENVISTA,Automobile,ENVISTA,KL47LCEP4TB082007,B36274,"$31,531.58 ","$31,531.58 ",$0.00 ,,"($31,531.58)",$0.00 ,"($31,531.58)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$43.51 ,$0.00 ,$0.00 ,$0.00 ,$43.51 ,$95.76 ,"$10,171.48 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,2/17/2026,83784,2/17/2026,9/17/2027,2026 Buick ENCORE,Automobile,ENCORE,KL4AMESL0TB083784,B36285,"$32,521.20 ","$32,521.20 ",$0.00 ,,"($32,521.20)",$0.00 ,"($32,521.20)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$134.63 ,$0.00 ,$0.00 ,$0.00 ,$134.63 ,$188.52 ,"$31,472.13 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,2/17/2026,86459,2/17/2026,9/17/2027,2026 Buick ENCORE,Automobile,ENCORE,KL4AMBSL6TB086459,B36277,"$29,518.00 ","$29,518.00 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$29,518.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$126.28 ,$0.00 ,$0.00 ,$0.00 ,$126.28 ,$175.19 ,"$29,518.00 "
