month,row,classification,boa_description,vin,vin6,boa_ending_balance,dt_2100_amount,dt_vin6,dt_description,dt_vin_extracted,dt_date,control_number
FEB26,2,matched,2025 Mazda M3H,JM1BPAJM3S1780956,780956,25746.0,-25746.0,780956,BOA FLOORPLAN,,,M20148
FEB26,3,matched,2026 Mazda M3S 25S 2A,JM1BPAAL8T1866286,866286,25895.0,-25895.0,866286,HILEY MAZDA OF ARLING   2/17/26  JM1BPAAL8T1866286,JM1BPAAL8T1866286,2/17/26,M21244
FEB26,4,matched,2026 Mazda M3S 25S 2A,JM1BPAAL5T1867637,867637,25895.0,-25895.0,867637,2026 MAZDA MAZDA3 SED   2/19/26  JM1BPAAL5T1867637,JM1BPAAL5T1867637,2/19/26,M21254
FEB26,5,matched,2026 Mazda M3H 25S 2A,JM1BPAJL7T1863461,863461,26186.0,-26186.0,863461,2026 MAZDA MAZDA3 HAT   2/02/26  JM1BPAJL7T1863461,JM1BPAJL7T1863461,2/02/26,M21205
FEB26,6,matched,2026 Mazda M3S SES 2A,JM1BPABL4T1866364,866364,26251.0,-26251.0,866364,"DIXON, MATTHEW RAYMON   2/23/26  JM1BPABL4T1866364",JM1BPABL4T1866364,2/23/26,M21241
FEB26,7,matched,2026 Mazda M3S SES 2A,JM1BPABL8T1867176,867176,26251.0,-26251.0,867176,2026 MAZDA MAZDA3 SED   2/23/26  JM1BPABL8T1867176,JM1BPABL8T1867176,2/23/26,M21253
FEB26,8,dealertrack_only,,JM1BPABL0T1867950,867950,,-26251.0,867950,2026 MAZDA MAZDA3 SED   2/27/26  JM1BPABL0T1867950,JM1BPABL0T1867950,2/27/26,M21317
FEB26,9,matched,2026 Mazda C30 25S XA,3MVDMBAL2TM137936,137936,27560.0,-27560.0,137936,2026 MAZDA CX-30        2/20/26  3MVDMBAL2TM137936,3MVDMBAL2TM137936,2/20/26,M21394
FEB26,10,matched,2026 Mazda M3S PF 2A,JM1BPACL5T1867618,867618,27860.0,-27860.0,867618,2026 MAZDA MAZDA3 SED   2/19/26  JM1BPACL5T1867618,JM1BPACL5T1867618,2/19/26,M21252
FEB26,11,dealertrack_only,,JM1BPACL2T1868807,868807,,-27860.0,868807,2026 MAZDA MAZDA3 SED   2/27/26  JM1BPACL2T1868807,JM1BPACL2T1868807,2/27/26,M21313
FEB26,12,matched,2026 Mazda M3H SES 2A,JM1BPAKL9T1864173,864173,28038.0,-28038.0,864173,2026 MAZDA MAZDA3 HAT   2/13/26  JM1BPAKL9T1864173,JM1BPAKL9T1864173,2/13/26,M21204
