Dealer Billing Statement for: April 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Fort Worth Dealership Acquisition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Manufacturer Name,Plant Name,Invoice Date,Invoice Number,Interest Start Date,Maturity Date,Description,Type,Model Number,Serial No/VIN,Stock/Lease No,Original Amount,Beginning Balance,Advances,Last Advance Date,Principal Payments,Principal Adjustments,Monthly Activity,Ending Balance,Current Curtailments,Past Due Curtailments,Current Maturities,Past Due Maturities,Total Principal Due,Interest Amount,Prior Period Interest Billed Current Month,Flat Charges Amount,Item Fee Amount,Total Interest / Charges / Fees Due,Inception to Date Interest,Average Daily Billing Balance
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,10/17/2024,431,10/17/2024,5/17/2026,2025 Acura ACURATLXTE,Automobile,ACURATLXTE,19UUB5F41SA000431,,"$44,987.00 ","$22,493.50 ",$0.00 ,,"($4,498.70)",$0.00 ,"($4,498.70)","$17,994.80 ",$0.00 ,$0.00 ,"$17,994.80 ",$0.00 ,"$17,994.80 ",$81.90 ,$0.00 ,$0.00 ,$0.00 ,$81.90 ,"$3,483.78 ","$19,794.28 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,9/15/2025,438,9/15/2025,4/15/2027,2026 Acura ACURAINTEGA-S,Automobile,ACURAINTEGA-S,19UDE4H62TA000438,,"$39,403.00 ","$39,403.00 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$39,403.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$163.02 ,$0.00 ,$0.00 ,$0.00 ,$163.02 ,"$1,285.24 ","$39,403.00 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,3/2/2026,1150,3/2/2026,10/2/2027,2026 Acura INTEGRA,Automobile,INTEGRA,19UDE5G95TA001150,A8017,"$53,028.20 ","$53,028.20 ",$0.00 ,,"($53,028.20)",$0.00 ,"($53,028.20)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$58.51 ,$0.00 ,$0.00 ,$0.00 ,$58.51 ,$278.03 ,"$14,140.85 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,2/13/2026,1237,2/13/2026,9/13/2027,2026 Acura ACURAINTEGTYP,Automobile,ACURAINTEGTYP,19UDE5G96TA001237,,"$53,373.20 ","$53,373.20 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$53,373.20 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$220.82 ,$0.00 ,$0.00 ,$0.00 ,$220.82 ,$567.07 ,"$53,373.20 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,3/17/2026,1522,3/17/2026,10/17/2027,2026 Acura ACURAINTEGTYP,Automobile,ACURAINTEGTYP,19UDE5G95TA001522,,"$53,028.20 ","$53,028.20 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$53,028.20 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$219.40 ,$0.00 ,$0.00 ,$0.00 ,$219.40 ,$329.16 ,"$53,028.20 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,4/1/2026,1542,4/1/2026,11/1/2027,2026 Acura ACURAINTEGTYP,Automobile,ACURAINTEGTYP,19UDE5G90TA001542,A8138,"$53,028.20 ",$0.00 ,"$53,028.20 ",4/1/2026,"($53,028.20)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$58.51 ,$0.00 ,$0.00 ,$0.00 ,$58.51 ,$58.51 ,"$14,140.85 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,3/24/2025,1591,3/24/2025,10/24/2026,2025 Acura ACURATLXTE,Automobile,ACURATLXTE,19UUB5F46SA001591,A7215,"$44,415.80 ","$44,415.80 ",$0.00 ,,"($44,415.80)",$0.00 ,"($44,415.80)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$117.61 ,$0.00 ,$0.00 ,$0.00 ,$117.61 ,"$2,597.54 ","$28,426.11 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,4/6/2026,1725,4/6/2026,11/6/2027,2026 Acura ACURAINTEGTYP,Automobile,ACURAINTEGTYP,19UDE5G98TA001725,,"$53,028.20 ",$0.00 ,"$53,028.20 ",4/6/2026,$0.00 ,$0.00 ,"$53,028.20 ","$53,028.20 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$182.83 ,$0.00 ,$0.00 ,$0.00 ,$182.83 ,$182.83 ,"$44,190.17 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,9/26/2025,1878,9/26/2025,4/26/2027,2026 Acura ACURAINTEGA-S,Automobile,ACURAINTEGA-S,19UDE4H35TA001878,,"$36,354.90 ","$36,354.90 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$36,354.90 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$150.41 ,$0.00 ,$0.00 ,$0.00 ,$150.41 ,"$1,123.83 ","$36,354.90 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,10/6/2025,2567,10/6/2025,5/6/2027,2026 Acura ACURAINTEGA-S,Automobile,ACURAINTEGA-S,19UDE4H34TA002567,A7661,"$36,354.90 ","$36,354.90 ",$0.00 ,,"($36,354.90)",$0.00 ,"($36,354.90)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$25.07 ,$0.00 ,$0.00 ,$0.00 ,$25.07 ,$942.87 ,"$6,059.15 "
