Dealer Billing Statement for: February 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Fort Worth Dealership Acquisition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Manufacturer Name,Plant Name,Invoice Date,Invoice Number,Interest Start Date,Maturity Date,Description,Type,Model Number,Serial No/VIN,Stock/Lease No,Original Amount,Beginning Balance,Advances,Last Advance Date,Principal Payments,Principal Adjustments,Monthly Activity,Ending Balance,Current Curtailments,Past Due Curtailments,Current Maturities,Past Due Maturities,Total Principal Due,Interest Amount,Prior Period Interest Billed Current Month,Flat Charges Amount,Item Fee Amount,Total Interest / Charges / Fees Due,Inception to Date Interest,Average Daily Billing Balance
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,10/14/2025,320,10/14/2025,5/14/2027,2026 Acura ACURAINTEGTYP,Automobile,ACURAINTEGTYP,19UDE5G9XTA000320,,"$52,352.20 ","$52,352.20 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$52,352.20 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$202.46 ,$0.00 ,$0.00 ,$0.00 ,$202.46 ,"$1,034.50 ","$52,352.20 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,10/17/2024,431,10/17/2024,5/17/2026,2025 Acura ACURATLXTE,Automobile,ACURATLXTE,19UUB5F41SA000431,,"$44,987.00 ","$31,490.90 ",$0.00 ,,"($4,498.70)",$0.00 ,"($4,498.70)","$26,992.20 ","$4,498.70 ",$0.00 ,$0.00 ,$0.00 ,"$4,498.70 ",$110.60 ,$0.00 ,$0.00 ,$0.00 ,$110.60 ,"$3,299.45 ","$28,598.88 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,10/31/2025,436,10/31/2025,5/31/2027,2026 Acura ACURARDXSHWD,Automobile,ACURARDXSHWD,5J8TC2H48TL000436,A7726,"$45,893.70 ","$45,893.70 ",$0.00 ,,"($45,893.70)",$0.00 ,"($45,893.70)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$120.45 ,$0.00 ,$0.00 ,$0.00 ,$120.45 ,$732.06 ,"$31,142.15 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,9/15/2025,438,9/15/2025,4/15/2027,2026 Acura ACURAINTEGA-S,Automobile,ACURAINTEGA-S,19UDE4H62TA000438,,"$39,403.00 ","$39,403.00 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$39,403.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$152.38 ,$0.00 ,$0.00 ,$0.00 ,$152.38 ,$953.66 ,"$39,403.00 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,1/12/2026,705,1/12/2026,8/12/2027,2026 Acura ACURAINTEGTYP,Automobile,ACURAINTEGTYP,19UDE5G98TA000705,A7860,"$52,928.20 ","$52,928.20 ",$0.00 ,,"($52,928.20)",$0.00 ,"($52,928.20)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$175.46 ,$0.00 ,$0.00 ,$0.00 ,$175.46 ,$322.47 ,"$45,367.03 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,9/15/2025,834,9/15/2025,4/15/2027,2026 Acura ACURAINTEGA-S,Automobile,ACURAINTEGA-S,19UDE4H6XTA000834,,"$39,403.00 ","$39,403.00 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$39,403.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$152.38 ,$0.00 ,$0.00 ,$0.00 ,$152.38 ,$953.66 ,"$39,403.00 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,9/30/2025,841,9/30/2025,4/30/2027,2026 Acura ACURAINTEGA-S,Automobile,ACURAINTEGA-S,19UDE4H67TA000841,,"$39,403.00 ","$39,403.00 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$39,403.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$152.38 ,$0.00 ,$0.00 ,$0.00 ,$152.38 ,$862.05 ,"$39,403.00 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,10/31/2025,902,10/31/2025,5/31/2027,2026 Acura ACURARDXSHWDT,Automobile,ACURARDXSHWDT,5J8TC2H5XTL000902,,"$47,331.60 ","$47,331.60 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$47,331.60 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$183.04 ,$0.00 ,$0.00 ,$0.00 ,$183.04 ,$813.82 ,"$47,331.60 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,12/18/2025,975,12/18/2025,7/18/2027,2026 Acura MDX,Automobile,MDX,5J8YD8H84TL000975,A7839,"$73,062.50 ","$73,062.50 ",$0.00 ,,"($73,062.50)",$0.00 ,"($73,062.50)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$232.12 ,$0.00 ,$0.00 ,$0.00 ,$232.12 ,$693.99 ,"$60,015.63 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,2/9/2026,1016,2/9/2026,9/9/2027,2026 Acura ACURAINTEGTYP,Automobile,ACURAINTEGTYP,19UDE5G91TA001016,A7911,"$53,373.20 ",$0.00 ,"$53,373.20 ",2/9/2026,"($53,373.20)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$66.33 ,$0.00 ,$0.00 ,$0.00 ,$66.33 ,$66.33 ,"$17,155.67 "
