Dealer Billing Statement for: March 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Fort Worth Dealership Acquisition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Manufacturer Name,Plant Name,Invoice Date,Invoice Number,Interest Start Date,Maturity Date,Description,Type,Model Number,Serial No/VIN,Stock/Lease No,Original Amount,Beginning Balance,Advances,Last Advance Date,Principal Payments,Principal Adjustments,Monthly Activity,Ending Balance,Current Curtailments,Past Due Curtailments,Current Maturities,Past Due Maturities,Total Principal Due,Interest Amount,Prior Period Interest Billed Current Month,Flat Charges Amount,Item Fee Amount,Total Interest / Charges / Fees Due,Inception to Date Interest,Average Daily Billing Balance
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,10/14/2025,320,10/14/2025,5/14/2027,2026 Acura ACURAINTEGTYP,Automobile,ACURAINTEGTYP,19UDE5G9XTA000320,A7670,"$52,352.20 ","$52,352.20 ",$0.00 ,,"($52,352.20)",$0.00 ,"($52,352.20)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$158.94 ,$0.00 ,$0.00 ,$0.00 ,$158.94 ,"$1,193.44 ","$37,153.17 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,10/17/2024,431,10/17/2024,5/17/2026,2025 Acura ACURATLXTE,Automobile,ACURATLXTE,19UUB5F41SA000431,,"$44,987.00 ","$26,992.20 ",$0.00 ,,"($4,498.70)",$0.00 ,"($4,498.70)","$22,493.50 ","$4,498.70 ",$0.00 ,$0.00 ,$0.00 ,"$4,498.70 ",$102.43 ,$0.00 ,$0.00 ,$0.00 ,$102.43 ,"$3,401.88 ","$23,944.69 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,9/15/2025,438,9/15/2025,4/15/2027,2026 Acura ACURAINTEGA-S,Automobile,ACURAINTEGA-S,19UDE4H62TA000438,,"$39,403.00 ","$39,403.00 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$39,403.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$168.56 ,$0.00 ,$0.00 ,$0.00 ,$168.56 ,"$1,122.22 ","$39,403.00 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,9/15/2025,834,9/15/2025,4/15/2027,2026 Acura ACURAINTEGA-S,Automobile,ACURAINTEGA-S,19UDE4H6XTA000834,A7593,"$39,403.00 ","$39,403.00 ",$0.00 ,,"($39,403.00)",$0.00 ,"($39,403.00)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$21.75 ,$0.00 ,$0.00 ,$0.00 ,$21.75 ,$975.41 ,"$5,084.26 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,9/30/2025,841,9/30/2025,4/30/2027,2026 Acura ACURAINTEGA-S,Automobile,ACURAINTEGA-S,19UDE4H67TA000841,A7629,"$39,403.00 ","$39,403.00 ",$0.00 ,,"($39,403.00)",$0.00 ,"($39,403.00)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$125.06 ,$0.00 ,$0.00 ,$0.00 ,$125.06 ,$987.11 ,"$29,234.48 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,10/31/2025,902,10/31/2025,5/31/2027,2026 Acura ACURARDXSHWDT,Automobile,ACURARDXSHWDT,5J8TC2H5XTL000902,A7733,"$47,331.60 ","$47,331.60 ",$0.00 ,,"($47,331.60)",$0.00 ,"($47,331.60)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$13.07 ,$0.00 ,$0.00 ,$0.00 ,$13.07 ,$826.89 ,"$3,053.65 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,3/2/2026,1150,3/2/2026,10/2/2027,2026 Acura INTEGRA,Automobile,INTEGRA,19UDE5G95TA001150,A8017,"$53,028.20 ",$0.00 ,"$53,028.20 ",3/2/2026,$0.00 ,$0.00 ,"$53,028.20 ","$53,028.20 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$219.52 ,$0.00 ,$0.00 ,$0.00 ,$219.52 ,$219.52 ,"$51,317.61 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,2/13/2026,1237,2/13/2026,9/13/2027,2026 Acura ACURAINTEGTYP,Automobile,ACURAINTEGTYP,19UDE5G96TA001237,,"$53,373.20 ","$53,373.20 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$53,373.20 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$228.32 ,$0.00 ,$0.00 ,$0.00 ,$228.32 ,$346.25 ,"$53,373.20 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,3/17/2026,1522,3/17/2026,10/17/2027,2026 Acura ACURAINTEGTYP,Automobile,ACURAINTEGTYP,19UDE5G95TA001522,,"$53,028.20 ",$0.00 ,"$53,028.20 ",3/17/2026,$0.00 ,$0.00 ,"$53,028.20 ","$53,028.20 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$109.76 ,$0.00 ,$0.00 ,$0.00 ,$109.76 ,$109.76 ,"$25,658.81 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,3/24/2025,1591,3/24/2025,10/24/2026,2025 Acura ACURATLXTE,Automobile,ACURATLXTE,19UUB5F46SA001591,,"$44,415.80 ","$44,415.80 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$44,415.80 ","$4,441.58 ",$0.00 ,$0.00 ,$0.00 ,"$4,441.58 ",$190.00 ,$0.00 ,$0.00 ,$0.00 ,$190.00 ,"$2,479.93 ","$44,415.80 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,4/1/2025,1728,4/1/2025,11/1/2026,2025 Acura ACURATLXTE,Automobile,ACURATLXTE,19UUB5F47SA001728,A7232,"$44,987.00 ","$44,987.00 ",$0.00 ,,"($44,987.00)",$0.00 ,"($44,987.00)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$18.63 ,$0.00 ,$0.00 ,$0.00 ,$18.63 ,"$2,281.76 ","$4,353.58 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,12/5/2025,1774,12/5/2025,7/5/2027,2026 Acura ACURAMDXSHWDT,Automobile,ACURAMDXSHWDT,5J8YD8H8XTL001774,A7788,"$73,062.50 ","$73,062.50 ",$0.00 ,,"($73,062.50)",$0.00 ,"($73,062.50)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$302.47 ,$0.00 ,$0.00 ,$0.00 ,$302.47 ,"$1,183.38 ","$70,705.65 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,10/6/2025,1828,10/6/2025,5/6/2027,2026 Acura ACURAINTEGA-S,Automobile,ACURAINTEGA-S,19UDE4H69TA001828,,"$39,403.00 ","$39,403.00 ",$0.00 ,,"($39,403.00)",$0.00 ,"($39,403.00)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$130.50 ,$0.00 ,$0.00 ,$0.00 ,$130.50 ,$956.70 ,"$30,505.55 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,9/26/2025,1878,9/26/2025,4/26/2027,2026 Acura ACURAINTEGA-S,Automobile,ACURAINTEGA-S,19UDE4H35TA001878,,"$36,354.90 ","$36,354.90 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$36,354.90 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$155.52 ,$0.00 ,$0.00 ,$0.00 ,$155.52 ,$973.42 ,"$36,354.90 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,10/6/2025,2567,10/6/2025,5/6/2027,2026 Acura ACURAINTEGA-S,Automobile,ACURAINTEGA-S,19UDE4H34TA002567,,"$36,354.90 ","$36,354.90 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$36,354.90 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$155.52 ,$0.00 ,$0.00 ,$0.00 ,$155.52 ,$917.80 ,"$36,354.90 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,8/7/2025,2949,8/7/2025,3/7/2027,2025 Acura ACURAINTEGTYP,Automobile,ACURAINTEGTYP,19UDE5G94SA002949,A7509,"$52,449.20 ","$52,449.20 ",$0.00 ,,"($52,449.20)",$0.00 ,"($52,449.20)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$173.70 ,$0.00 ,$0.00 ,$0.00 ,$173.70 ,"$1,762.97 ","$40,605.83 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,8/5/2025,3003,8/5/2025,3/5/2027,2025 Acura ACURAINTEGTYP,Automobile,ACURAINTEGTYP,19UDE5G94SA003003,A7494,"$52,449.20 ","$52,449.20 ",$0.00 ,,"($52,449.20)",$0.00 ,"($52,449.20)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$188.18 ,$0.00 ,$0.00 ,$0.00 ,$188.18 ,"$1,793.93 ","$43,989.65 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,8/5/2025,3006,8/5/2025,3/5/2027,2025 Acura ACURAINTEGTYP,Automobile,ACURAINTEGTYP,19UDE5G9XSA003006,A7495,"$52,449.20 ","$52,449.20 ",$0.00 ,,"($52,449.20)",$0.00 ,"($52,449.20)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$180.94 ,$0.00 ,$0.00 ,$0.00 ,$180.94 ,"$1,786.69 ","$42,297.74 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,2/17/2026,3006,2/17/2026,9/17/2027,2026 Acura ACURAMDXSHWDT,Automobile,ACURAMDXSHWDT,5J8YD8H88TL003006,,"$73,162.50 ","$73,162.50 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$73,162.50 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$312.97 ,$0.00 ,$0.00 ,$0.00 ,$312.97 ,$434.21 ,"$73,162.50 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,2/25/2026,3015,2/25/2026,9/25/2027,2026 Acura ACURAMDXSHWDT,Automobile,ACURAMDXSHWDT,5J8YD8H89TL003015,,"$73,162.50 ","$73,162.50 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$73,162.50 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$312.97 ,$0.00 ,$0.00 ,$0.00 ,$312.97 ,$353.38 ,"$73,162.50 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,3/24/2026,3061,3/24/2026,10/24/2027,2026 Acura ACURAMDXSHWDT,Automobile,ACURAMDXSHWDT,5J8YD8H85TL003061,,"$73,162.50 ",$0.00 ,"$73,162.50 ",3/24/2026,$0.00 ,$0.00 ,"$73,162.50 ","$73,162.50 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$80.77 ,$0.00 ,$0.00 ,$0.00 ,$80.77 ,$80.77 ,"$18,880.65 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,1/9/2026,3144,1/9/2026,8/9/2027,2026 Acura INETEGRA,Automobile,INETEGRA,19UDE4H60TA003144,A7681,"$38,827.00 ","$38,827.00 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$38,827.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$166.09 ,$0.00 ,$0.00 ,$0.00 ,$166.09 ,$440.27 ,"$38,827.00 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,12/16/2025,3173,12/16/2025,7/16/2027,2026 Acura ACURAMDX,Automobile,ACURAMDX,5J8YD9H32TL003173,,"$52,420.20 ","$52,420.20 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$52,420.20 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$224.25 ,$0.00 ,$0.00 ,$0.00 ,$224.25 ,$773.42 ,"$52,420.20 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,12/16/2025,3424,12/16/2025,7/16/2027,2026 Acura ACURAMDXTE,Automobile,ACURAMDXTE,5J8YD9H40TL003424,,"$55,797.60 ","$55,797.60 ",$0.00 ,,"($55,797.60)",$0.00 ,"($55,797.60)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$184.80 ,$0.00 ,$0.00 ,$0.00 ,$184.80 ,$769.36 ,"$43,198.14 "
