FORT WORTH,Serial No/VIN,VIN6,Ending Balance, 2100        ,VIN6,Description,Control    
2026 Buick BUCK ENVIST,KL47LAEP1TB210823,210823,"$25,996.30 "," (25,996.30)",210823,2026 BUICK ENVISTA      4/29/26  KL47LAEP1TB210823,B36781
2026 Buick BUCK ENVIST,KL47LAEP3TB210824,210824,"$25,996.30 ",,,,
2026 Buick BUCK ENVIST,KL47LAEP9TB208821,208821,"$26,454.18 ",,,,
2026 Buick BUCK ENVIST,KL47LAEP0TB210490,210490,"$26,454.18 ",,,,
2026 Subaru CROSSTREK5 DO,4S4GUHD68T3706986,706986,"$26,459.00 "," (26,459.00)",706986,2026 SUBARU CROSSTREK   1/29/26  4S4GUHD68T3706986,R4612
2026 Subaru CROSSTREK5 DO,4S4GUHD64T3769552,769552,"$26,552.00 "," (26,552.00)",769552,SUBARU LOANER           4/24/26  4S4GUHD64T3769552,R5282
2026 Subaru CROSSTREK5 DO,4S4GUHD66T3735807,735807,"$26,921.00 ",,,,
2026 Buick ENVISTA,KL47LAEPXTB068648,068648,"$26,925.61 "," (26,925.61)",068648,2026 BUICK ENVISTA      2/17/26  KL47LAEPXTB068648,B36263
2026 Subaru CROSSTREK5 DO,4S4GUHB68T3742471,742471,"$27,270.00 "," (27,270.00)",742471,2026 SUBARU CROSSTREK   2/20/26  4S4GUHB68T3742471,R4983
2026 Subaru IMPREZA5 DOOR,JF1GUAFC3T8238561,238561,"$27,310.00 "," (27,310.00)",238561,"ACOSTA, DARWIN PEREZ    3/24/26  JF1GUAFC3T8238561",R5137
2026 Buick BUCK ENVIST,KL47LAEP4TB093464,093464,"$27,427.03 "," (27,427.03)",093464,2026 BUICK ENVISTA     12/04/25  KL47LAEP4TB093464,B35956
2026 Buick BUCK ENVIST,KL47LBEP4TB201930,201930,"$27,464.80 ",,,,
2026 Buick BUCK ENVIST,KL47LBEP5TB204089,204089,"$27,464.80 ",,,,
2026 Buick BUCK ENVIST,KL47LAEP3TB102154,102154,"$27,467.05 "," (27,467.05)",102154,2026 BUICK ENVISTA      1/09/26  KL47LAEP3TB102154,B36141
2026 Buick BUCK ENVIST,KL47LAEP7TB113609,113609,"$27,467.05 "," (27,467.05)",113609,2026 BUICK ENVISTA     12/29/25  KL47LAEP7TB113609,B36103
2026 Buick BUCK ENVIST,KL47LAEP6TB117232,117232,"$27,467.05 "," (27,467.05)",117232,2026 BUICK ENVISTA     12/29/25  KL47LAEP6TB117232,B36105
2026 Buick BUCK ENVIST,KL47LAEP8TB081642,081642,"$27,560.45 "," (27,560.45)",081642,2026 BUICK ENVISTA     11/18/25  KL47LAEP8TB081642,B35870
2026 Buick BUCK ENCOR G,KL4AMBSL3TB207349,207349,"$27,830.18 ",,,,
2026 Buick BUCK ENCOR G,KL4AMBSL5TB211578,211578,"$27,830.18 ",,,,
2026 Buick BUCK ENVIST,KL47LBEP9TB203270,203270,"$27,922.68 ",,,,
2026 Buick BUCK ENVIST,KL47LBEP6TB203727,203727,"$27,922.68 ",,,,
2026 Buick BUCK ENVIST,KL47LAEP3TB104485,104485,"$27,924.93 "," (27,924.93)",104485,2026 BUICK ENVISTA      1/05/26  KL47LAEP3TB104485,B36123
2026 Buick BUCK ENVIST,KL47LAEP3TB106494,106494,"$27,924.93 "," (27,924.93)",106494,2026 BUICK ENVISTA      1/16/26  KL47LAEP3TB106494,B36156
2026 Buick BUCK ENVIST,KL47LAEP2TB109029,109029,"$27,924.93 "," (27,924.93)",109029,2026 BUICK ENVISTA      1/20/26  KL47LAEP2TB109029,B36163
2026 Buick BUCK ENVIST,KL47LAEPXTB110719,110719,"$27,924.93 "," (27,924.93)",110719,2026 BUICK ENVISTA      1/20/26  KL47LAEPXTB110719,B36165
2026 Buick BUCK ENVIST,KL47LAEP3TB115132,115132,"$27,924.93 "," (27,924.93)",115132,2026 BUICK ENVISTA      2/11/26  KL47LAEP3TB115132,B36249
2026 Buick BUCK ENVIST,KL47LAEP2TB115137,115137,"$27,924.93 "," (27,924.93)",115137,2026 BUICK ENVISTA      2/11/26  KL47LAEP2TB115137,B36250
2026 Buick BUCK ENVIST,KL47LAEP4TB115138,115138,"$27,924.93 "," (27,924.93)",115138,2026 BUICK ENVISTA      2/11/26  KL47LAEP4TB115138,B36259
2026 Buick BUCK ENVIST,KL47LAEP8TB116521,116521,"$27,924.93 "," (27,924.93)",116521,2026 BUICK ENVISTA     12/29/25  KL47LAEP8TB116521,B36102
