Dealer Billing Statement for: April 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hiley Cars Fort Worth, LP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Manufacturer Name,Plant Name,Invoice Date,Invoice Number,Interest Start Date,Maturity Date,Description,Type,Model Number,Serial No/VIN,Stock/Lease No,Original Amount,Beginning Balance,Advances,Last Advance Date,Principal Payments,Principal Adjustments,Monthly Activity,Ending Balance,Current Curtailments,Past Due Curtailments,Current Maturities,Past Due Maturities,Total Principal Due,Interest Amount,Prior Period Interest Billed Current Month,Flat Charges Amount,Item Fee Amount,Total Interest / Charges / Fees Due,Inception to Date Interest,Average Daily Billing Balance
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,3/10/2026,22170,3/10/2026,10/10/2027,2026 Buick BUCK ENVSN S,Automobile,BUCK ENVSN S,LRBFZPR49TD022170,,"$45,415.25 ","$45,415.25 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$45,415.25 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$187.90 ,$0.00 ,$0.00 ,$0.00 ,$187.90 ,$325.77 ,"$45,415.25 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,3/10/2026,22210,3/10/2026,10/10/2027,2026 Buick BUCK ENVSN S,Automobile,BUCK ENVSN S,LRBFZPR46TD022210,,"$45,873.13 ","$45,873.13 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$45,873.13 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$189.79 ,$0.00 ,$0.00 ,$0.00 ,$189.79 ,$329.05 ,"$45,873.13 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,3/10/2026,22234,3/10/2026,10/10/2027,2026 Buick BUCK ENVSN S,Automobile,BUCK ENVSN S,LRBFZPR49TD022234,,"$45,873.13 ","$45,873.13 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$45,873.13 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$189.79 ,$0.00 ,$0.00 ,$0.00 ,$189.79 ,$329.05 ,"$45,873.13 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,3/10/2026,22286,3/10/2026,10/10/2027,2026 Buick BUCK ENVSN S,Automobile,BUCK ENVSN S,LRBFZPR46TD022286,,"$45,415.25 ","$45,415.25 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$45,415.25 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$187.90 ,$0.00 ,$0.00 ,$0.00 ,$187.90 ,$325.77 ,"$45,415.25 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,3/3/2026,24440,3/3/2026,10/3/2027,2026 Buick BUCK ENVSN S,Automobile,BUCK ENVSN S,LRBFZPR40TD024440,,"$45,873.13 ","$45,873.13 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$45,873.13 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$189.79 ,$0.00 ,$0.00 ,$0.00 ,$189.79 ,$373.36 ,"$45,873.13 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,2/26/2026,24474,2/26/2026,9/26/2027,2026 Buick BUCK ENVSN S,Automobile,BUCK ENVSN S,LRBFZPR46TD024474,,"$45,415.25 ","$45,415.25 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$45,415.25 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$187.90 ,$0.00 ,$0.00 ,$0.00 ,$187.90 ,$400.99 ,"$45,415.25 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,3/5/2026,24699,3/5/2026,10/5/2027,2026 Buick BUCK ENVSN A,Automobile,BUCK ENVSN A,LRBFZSR44TD024699,,"$51,698.30 ","$51,698.30 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$51,698.30 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$213.89 ,$0.00 ,$0.00 ,$0.00 ,$213.89 ,$406.51 ,"$51,698.30 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,3/9/2026,24863,3/9/2026,10/9/2027,2026 Buick BUCK ENVSN A,Automobile,BUCK ENVSN A,LRBFZSR42TD024863,,"$51,143.30 ","$51,143.30 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$51,143.30 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$211.60 ,$0.00 ,$0.00 ,$0.00 ,$211.60 ,$373.92 ,"$51,143.30 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,4/7/2025,25577,4/7/2025,11/7/2026,2025 Buick ENVISION,Automobile,ENVISION,LRBFZLE43SD025577,B34178,"$41,198.96 ","$41,198.96 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$41,198.96 ","$4,119.90 ",$0.00 ,$0.00 ,$0.00 ,"$4,119.90 ",$170.45 ,$0.00 ,$0.00 ,$0.00 ,$170.45 ,"$2,380.67 ","$41,198.96 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,3/30/2026,33619,3/30/2026,10/30/2027,2026 Buick BUCK ENVSN S,Automobile,BUCK ENVSN S,LRBFZPR47TD033619,,"$45,873.13 ","$45,873.13 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$45,873.13 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$189.79 ,$0.00 ,$0.00 ,$0.00 ,$189.79 ,$202.45 ,"$45,873.13 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,3/26/2026,33636,3/26/2026,10/26/2027,2026 Buick BUCK ENVSN S,Automobile,BUCK ENVSN S,LRBFZPR47TD033636,,"$45,873.13 ","$45,873.13 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$45,873.13 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$189.79 ,$0.00 ,$0.00 ,$0.00 ,$189.79 ,$227.77 ,"$45,873.13 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,3/26/2026,33811,3/26/2026,10/26/2027,2026 Buick BUCK ENVSN S,Automobile,BUCK ENVSN S,LRBFZPR4XTD033811,,"$45,873.13 ","$45,873.13 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$45,873.13 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$189.79 ,$0.00 ,$0.00 ,$0.00 ,$189.79 ,$227.77 ,"$45,873.13 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,3/26/2026,33926,3/26/2026,10/26/2027,2026 Buick BUCK ENVSN S,Automobile,BUCK ENVSN S,LRBFZPR45TD033926,,"$45,873.13 ","$45,873.13 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$45,873.13 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$189.79 ,$0.00 ,$0.00 ,$0.00 ,$189.79 ,$227.77 ,"$45,873.13 "
