Dealer Billing Statement for: February 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hiley Cars Fort Worth, LP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Manufacturer Name,Plant Name,Invoice Date,Invoice Number,Interest Start Date,Maturity Date,Description,Type,Model Number,Serial No/VIN,Stock/Lease No,Original Amount,Beginning Balance,Advances,Last Advance Date,Principal Payments,Principal Adjustments,Monthly Activity,Ending Balance,Current Curtailments,Past Due Curtailments,Current Maturities,Past Due Maturities,Total Principal Due,Interest Amount,Prior Period Interest Billed Current Month,Flat Charges Amount,Item Fee Amount,Total Interest / Charges / Fees Due,Inception to Date Interest,Average Daily Billing Balance
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,2/26/2026,24474,2/26/2026,9/26/2027,2026 Buick BUCK ENVSN S,Automobile,BUCK ENVSN S,LRBFZPR46TD024474,,"$45,415.25 ",$0.00 ,"$45,415.25 ",2/26/2026,$0.00 ,$0.00 ,"$45,415.25 ","$45,415.25 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$18.81 ,$0.00 ,$0.00 ,$0.00 ,$18.81 ,$18.81 ,"$4,865.92 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,4/7/2025,25577,4/7/2025,11/7/2026,2025 Buick ENVISION,Automobile,ENVISION,LRBFZLE43SD025577,B34178,"$41,198.96 ","$41,198.96 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$41,198.96 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$159.33 ,$0.00 ,$0.00 ,$0.00 ,$159.33 ,"$2,033.98 ","$41,198.96 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,7/9/2025,27144,7/9/2025,2/9/2027,2026 Buick BUCK ENCOR G,Automobile,BUCK ENCOR G,KL4AMBSL5TB027144,B35001,"$28,835.00 ","$28,835.00 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$28,835.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$111.51 ,$0.00 ,$0.00 ,$0.00 ,$111.51 ,"$1,004.60 ","$28,835.00 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,7/9/2025,28884,7/9/2025,2/9/2027,2026 Buick BUCK ENCOR G,Automobile,BUCK ENCOR G,KL4AMBSL6TB028884,B35021,"$28,374.65 ","$28,374.65 ",$0.00 ,,"($28,374.65)",$0.00 ,"($28,374.65)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$31.37 ,$0.00 ,$0.00 ,$0.00 ,$31.37 ,$910.21 ,"$8,107.04 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,7/21/2025,34554,7/21/2025,2/21/2027,2026 Buick BUCK ENCOR G,Automobile,BUCK ENCOR G,KL4AMDSLXTB034554,B35056,"$29,648.45 ","$29,648.45 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$29,648.45 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$114.66 ,$0.00 ,$0.00 ,$0.00 ,$114.66 ,$977.30 ,"$29,648.45 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,2/17/2026,40911,2/17/2026,9/17/2027,2026 Buick ENCORE,Automobile,ENCORE,KL4AMBSLXTB040911,B36280,"$29,150.00 ",$0.00 ,"$29,150.00 ",2/17/2026,$0.00 ,$0.00 ,"$29,150.00 ","$29,150.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$48.30 ,$0.00 ,$0.00 ,$0.00 ,$48.30 ,$48.30 ,"$12,492.86 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,8/29/2025,46443,8/29/2025,3/29/2027,2026 Buick BUCK ENCOR G,Automobile,BUCK ENCOR G,KL4AMBSL0TB046443,B35302,"$28,506.45 ","$28,506.45 ",$0.00 ,,"($28,506.45)",$0.00 ,"($28,506.45)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$39.39 ,$0.00 ,$0.00 ,$0.00 ,$39.39 ,$694.45 ,"$10,180.88 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,2/17/2026,51589,2/17/2026,9/17/2027,2026 Buick ENCORE,Automobile,ENCORE,KL4AMBSL9TB051589,B36279,"$29,518.00 ",$0.00 ,"$29,518.00 ",2/17/2026,$0.00 ,$0.00 ,"$29,518.00 ","$29,518.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$48.91 ,$0.00 ,$0.00 ,$0.00 ,$48.91 ,$48.91 ,"$12,650.57 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,8/25/2025,51953,8/25/2025,3/25/2027,2026 Buick BUCK ENVIST,Automobile,BUCK ENVIST,KL47LBEPXTB051953,B35282,"$28,390.10 ","$28,390.10 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$28,390.10 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$109.79 ,$0.00 ,$0.00 ,$0.00 ,$109.79 ,$780.00 ,"$28,390.10 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,2/17/2026,53463,2/17/2026,9/17/2027,2026 Buick ENCORE,Automobile,ENCORE,KL4AMBSL8TB053463,B36278,"$29,518.00 ",$0.00 ,"$29,518.00 ",2/17/2026,$0.00 ,$0.00 ,"$29,518.00 ","$29,518.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$48.91 ,$0.00 ,$0.00 ,$0.00 ,$48.91 ,$48.91 ,"$12,650.57 "
